cid,eid
1001,101
1001,102
1001,103
1001,104
1001,105
1001,106
1001,107
1001,108
1001,109
1001,110
1001,111
1001,112
1001,113
1001,114
1001,115
1001,116
1001,117
1001,118
1001,119
1001,120
1001,201
1001,202
1001,203
1001,204
1001,205
1001,206
1001,207
1001,208
1001,209
1001,210
1001,211
1001,212
1001,213
1001,214
1001,215
1001,216
1001,217
1001,218
1001,219
1001,220
1001,221
1001,222
1001,223
1001,224
1001,225
1001,226
1001,227
1001,301
1001,302
1001,303
1001,304
1001,305
1001,401
1001,402
1001,403
1001,404
1001,405
